LATIN_NAM,COMMON_NAM,SP_TYPE,HAB_USE,CEREALS,WNTR_CRLS,OILSEED,CORN,SOYBEANS,VEGETABLES,BERRIES,FRUIT_TREE,OTR_CRPS,SOD,PULSES,SUMMF,TAME,IMPAST,UNIMPAST,GRSSHRBWD,ANTHROP,WDLT_PLANT,WD_INTR,WD_NO_INT,SB_TREE,SB_GRS_HRB,RIP_WD,RIP_GRSHRB,RIP_AG,WTLD_W_MRG,WTLD_N_MAR,WTLD_OPWAT,WTLD_PEAT,WT_TS_SWMP,IDLE_LND
Strix nebulosa,Great Gray Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asio otus,Long-eared Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,0,0,0,0,0,2,2,2
Asio flammeus,Short-eared Owl,1,C,3,3,3,3,3,3,3,0,3,3,3,2,2,2,1,2,0,0,0,3,3,0,0,2,0,1,0,0,2,0,2
Aegolius funereus,Boreal Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegolius acadicus,Northern Saw-whet Owl,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,2,0,0,0,0,0,2,2,0
Chordeiles minor,Common Nighthawk,1,C,3,3,3,3,3,3,2,3,3,3,3,3,0,3,2,3,2,2,3,2,3,0,3,3,0,0,0,0,3,0,2
Caprimulgus vociferus,Whip-poor-will,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,3,0,0,3,0,0,0,0,0,0,0,0
Chaetura pelagica,Chimney Swift,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,2,0,0,0,0,0,0,3,0
Archilochus colubris,Ruby-throated Hummingbird,1,C,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,2,2,3,0,2,0,0,0,0,0,3,2,2
Ceryle alcyon,Belted Kingfisher,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,2,2,2,0,0,3
Melanerpes erythrocephalus,Red-headed Woodpecker,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,2,2
Melanerpes carolinus,Red-bellied Woodpecker,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,1,0,0,0,0,0,0,1,0
Sphyrapicus varius,Yellow-bellied Sapsucker,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,1,0,0,0,0,0,3,1,3
Picoides pubescens,Downy Woodpecker,1,C,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,1,2,2,0,1,0,0,0,0,0,3,1,2
Picoides villosus,Hairy Woodpecker,1,C,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,1,2,2,0,1,0,0,0,0,0,2,1,2
Picoides arcticus,Black-backed Woodpecker,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,1,0
Colaptes auratus,Northern Flicker,1,C,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,2,1,2,0,2,0,0,0,0,0,2,2,2
Dryocopus pileatus,Pileated Woodpecker,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,3,1,0
Contopus cooperi,Olive-sided Flycatcher,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,2,2,0
Contopus virens,Eastern Wood-Pewee,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0
Empidonax flaviventris,Yellow-bellied Flycatcher,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0
Empidonax virescens,Acadian Flycatcher,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
